customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,is_long_term,total_revenue,charge_category,charge_ratio,num_services,is_monthly_contract,paperless_billing_binary,family_size
4134-BSXLX,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Mailed check",60.9,1785.65,0,"2-4 years",0,0,1705.2,Medium,1.04657,3,1,0,1
5893-PYOLZ,Male,0,No,No,56,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",81.8,4534.45,0,"4+ years",0,1,4580.8,High,0.989666,6,0,1,0
5204-HMGYF,Female,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Mailed check",87.2,4345,0,"4+ years",0,1,4272.8,High,1.01666,7,0,1,2
7244-QWYHG,Male,0,Yes,No,50,No,"No phone service",DSL,Yes,No,No,Yes,Yes,No,"One year",Yes,"Bank transfer (automatic)",44.45,2188.45,0,"4+ years",0,1,2222.5,Medium,0.984237,3,0,1,1
2135-DQWAQ,Female,0,No,No,5,Yes,No,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Mailed check",85.3,420.45,0,"0-1 year",1,0,426.5,High,0.983509,3,1,1,0
6844-DZKRF,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,"Credit card (automatic)",50.2,109.25,0,"0-1 year",1,0,100.4,Medium,1.07742,2,1,1,0
2516-XSJKX,Female,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,"Two year",No,"Electronic check",78.45,3126.45,0,"2-4 years",0,0,3216.45,High,0.971717,6,0,0,2
0743-HNPFG,Male,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",70.4,3562.5,0,"4+ years",0,1,3590.4,High,0.991953,5,0,1,2
9840-EFJQB,Female,0,No,No,1,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",74.35,74.35,0,"0-1 year",1,0,74.35,High,0.986729,2,1,0,0
9696-RMYBA,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Mailed check",80.1,398.55,0,"0-1 year",1,0,400.5,High,0.992653,2,1,1,0
2282-YGNOR,Female,0,No,No,29,Yes,No,DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Credit card (automatic)",58,1398.6,0,"2-4 years",0,0,1682,Medium,0.831016,4,0,0,0
5730-DBDSI,Male,0,No,No,66,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",19.7,1253.8,0,"4+ years",0,1,1300.2,Low,0.963572,1,0,0,0
1724-IQWNM,Male,0,No,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",19.3,19.3,0,"0-1 year",1,0,19.3,Low,0.950739,1,1,1,1
7296-PIXQY,Male,0,Yes,Yes,14,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",70.2,1046.5,0,"1-2 years",0,0,982.8,High,1.06373,1,1,0,2
7576-OYWBN,Male,1,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",76.05,231.8,1,"0-1 year",1,0,228.15,High,1.01156,1,1,1,0
2868-LLSKM,Female,0,Yes,Yes,68,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,"One year",Yes,"Bank transfer (automatic)",83.65,5733.4,0,"4+ years",0,1,5688.2,High,1.00777,3,0,1,2
8871-JLMHM,Female,0,Yes,No,68,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,No,No,"Two year",No,"Credit card (automatic)",90.2,6297.65,0,"4+ years",0,1,6133.6,High,1.02658,4,0,0,1
1624-WOIWJ,Male,0,No,No,10,Yes,No,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,Yes,"Mailed check",84.7,832.05,1,"0-1 year",1,0,847,High,0.981191,3,1,1,0
2511-MORQY,Male,0,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,No,No,"One year",No,"Bank transfer (automatic)",54.9,2614.1,0,"4+ years",0,1,2745,Medium,0.951967,2,0,0,1
0463-ZSDNT,Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",56.75,503.25,0,"0-1 year",1,0,567.5,Medium,0.885224,2,1,1,0
8943-URTMR,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Mailed check",79.65,152.7,1,"0-1 year",1,0,159.3,High,0.952589,2,1,1,0
2235-EZAIK,Male,0,Yes,No,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,No,"Two year",No,"Credit card (automatic)",79.2,5401.9,0,"4+ years",0,1,5702.4,High,0.947137,6,0,0,1
5014-GSOUQ,Male,0,No,No,13,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",19.95,243.65,0,"1-2 years",0,0,259.35,Low,0.935856,1,0,0,0
0495-ZBNGW,Male,1,Yes,No,5,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",79.9,343.95,1,"0-1 year",1,0,399.5,High,0.858801,2,1,1,1
5485-WUYWF,Male,1,No,No,2,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,"Bank transfer (automatic)",66.4,94.55,1,"0-1 year",1,0,132.8,Medium,0.706652,4,1,0,0
2651-ZCBXV,Male,0,No,No,54,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",108,5760.65,0,"4+ years",0,1,5832,High,0.987596,6,0,1,0
4869-EPIUS,Male,0,Yes,No,29,Yes,No,"Fiber optic",No,No,No,No,No,Yes,"One year",Yes,"Electronic check",80.9,4557.5,0,"2-4 years",0,0,2346.1,High,1.94176,2,0,1,1
6963-EZQEE,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",88.55,6306.5,0,"4+ years",0,1,6198.5,High,1.01726,7,0,1,1
3707-GNWHM,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",74.25,74.25,1,"0-1 year",1,0,74.25,High,0.986711,1,1,1,0
5914-DVBWJ,Male,1,No,No,18,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Electronic check",85.45,1505.85,1,"1-2 years",0,0,1538.1,High,0.978396,3,1,1,0
1051-EQPZR,Female,0,Yes,Yes,44,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.6,780.25,0,"2-4 years",0,0,862.4,Low,0.903695,1,1,0,2
6598-RFFVI,Male,0,No,No,29,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Credit card (automatic)",19.3,28.3,1,"2-4 years",0,0,559.7,Low,0.0504726,1,0,0,0
5868-YTYKS,Male,0,No,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",20.25,20.25,0,"0-1 year",1,0,20.25,Low,0.952941,1,1,1,0
0670-KDOMA,Female,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",20.25,20.25,0,"0-1 year",1,0,20.25,Low,0.952941,1,1,1,0
7010-BRBUU,Male,0,Yes,Yes,72,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",24.1,1734.65,0,"4+ years",0,1,1735.2,Low,0.999107,1,0,0,2
4291-HPAXL,Male,0,No,Yes,1,Yes,No,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,19.85,0,"0-1 year",1,0,19.85,Low,0.952038,1,1,0,1
1135-LMECX,Female,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,19.85,0,"0-1 year",1,0,19.85,Low,0.952038,1,1,0,1
5876-HZVZM,Female,0,Yes,Yes,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Credit card (automatic)",55.9,365.35,1,"0-1 year",1,0,335.4,Medium,1.08606,3,1,0,2
2144-ESWKO,Male,0,No,No,43,No,"No phone service",DSL,Yes,No,Yes,No,No,No,"One year",Yes,"Credit card (automatic)",35.2,1463.7,0,"2-4 years",0,0,1513.6,Medium,0.966394,2,0,1,0
5527-ACHSO,Female,0,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,"Mailed check",70.5,829.3,0,"0-1 year",1,0,775.5,High,1.068,4,1,0,0
6890-PFRQX,Male,0,No,No,29,Yes,No,"Fiber optic",Yes,No,Yes,No,Yes,No,Month-to-month,No,"Mailed check",69.5,1199.4,0,"2-4 years",0,0,2015.5,Medium,0.594793,4,1,0,0
1475-VWVDO,Male,0,No,No,29,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",74.9,490.55,0,"2-4 years",0,0,2172.1,High,0.225737,2,1,1,0
1936-UAFEH,Female,0,No,No,68,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,"Credit card (automatic)",110.25,7279.35,0,"4+ years",0,1,7497,High,0.970839,6,1,0,0
6100-QQHEB,Male,0,Yes,Yes,17,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",92.55,1515.1,1,"1-2 years",0,0,1573.35,High,0.962365,3,1,1,2
2799-TSLAG,Female,0,Yes,No,65,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",25.3,1748.55,0,"4+ years",0,1,1644.5,Low,1.06263,1,0,1,1
4634-JLRJT,Female,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",70.4,20.35,0,"0-1 year",1,0,70.4,High,0.285014,1,1,1,0
3604-WLABM,Male,0,No,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,"Electronic check",54.25,583,0,"0-1 year",1,0,542.5,Medium,1.07268,3,1,0,0
1301-LOPVR,Male,0,No,Yes,29,No,"No phone service",DSL,Yes,Yes,Yes,No,No,Yes,"One year",Yes,"Credit card (automatic)",55.35,1636.95,0,"2-4 years",0,0,1605.15,Medium,1.01918,4,0,1,1
3677-IYRBF,Female,1,No,No,2,No,"No phone service",DSL,No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",30.4,78.65,1,"0-1 year",1,0,60.8,Low,1.27265,1,1,1,0
6647-ZEDXT,Female,0,No,No,30,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",No,"Credit card (automatic)",110.45,3327.05,0,"2-4 years",0,0,3313.5,High,1.00379,6,0,0,0
1449-XQEMT,Male,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",19.8,58.15,1,"0-1 year",1,0,59.4,Low,0.962748,1,1,1,0
3717-LNXKW,Male,0,Yes,No,38,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,No,"Bank transfer (automatic)",70.4,3479.05,0,"2-4 years",0,0,2675.2,High,1.3,3,1,0,1
4892-VLANZ,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",70.4,19.8,1,"0-1 year",1,0,70.4,High,0.277311,1,1,0,0
6478-HRRCZ,Male,0,Yes,No,32,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,"One year",No,"Mailed check",70.5,2201.75,0,"2-4 years",0,0,2256,High,0.975521,5,0,0,1
0334-ZFJSR,Female,0,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,"Credit card (automatic)",66.05,3462.1,0,"4+ years",0,1,3632.75,Medium,0.952762,4,1,1,1
7598-UAASY,Male,0,Yes,No,2,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,No,"Electronic check",76.4,1398.6,1,"0-1 year",1,0,152.8,High,9.09363,2,1,0,1
3866-MDTUB,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",70.75,146.9,1,"0-1 year",1,0,141.5,High,1.03088,4,1,1,0
5277-ZLOOR,Male,1,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.55,187.45,1,"0-1 year",1,0,171.1,High,1.08919,2,1,1,0
2546-KZAAT,Male,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Mailed check",75.4,3865.45,0,"4+ years",0,1,3920.8,High,0.985632,5,0,1,1
5071-FBJFS,Female,0,Yes,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Electronic check",50.3,217.1,0,"0-1 year",1,0,201.2,Medium,1.07369,2,1,0,2
9818-XQCUV,Female,0,No,No,2,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.35,45.3,0,"0-1 year",1,0,40.7,Low,1.08633,1,1,0,0
2933-FILNV,Female,0,Yes,Yes,2,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",24.4,36.55,1,"0-1 year",1,0,48.8,Low,0.733936,0,1,1,2
2530-FMFXO,Male,0,Yes,Yes,29,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",103.2,5873.75,0,"2-4 years",0,0,2992.8,High,1.96197,5,1,1,2
0576-WNXXC,Male,1,Yes,No,27,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",95.55,2510.2,1,"2-4 years",0,0,2579.85,High,0.972625,4,1,1,1
5480-TBGPH,Female,0,Yes,No,24,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",70.4,2431.35,1,"1-2 years",0,0,1689.6,High,1.43816,5,1,1,1
8695-WDYEA,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",51.25,51.25,0,"0-1 year",1,0,51.25,Medium,0.980861,2,1,0,0
3679-XASPY,Male,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.45,19.45,0,"0-1 year",1,0,19.45,Low,0.9511,1,1,0,2
6131-FOYAS,Male,0,No,No,35,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",59.6,2094.9,0,"2-4 years",0,0,2086,Medium,1.00379,3,1,1,0
0345-HKJVM,Female,0,No,No,6,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",89.3,577.6,1,"0-1 year",1,0,535.8,High,1.07601,3,1,0,0
2322-VCZHZ,Male,1,Yes,No,23,Yes,No,"Fiber optic",Yes,Yes,No,No,No,Yes,Month-to-month,Yes,"Electronic check",90,2024.1,0,"1-2 years",0,0,2070,High,0.977354,4,1,1,1
2111-DWYHN,Male,0,No,No,1,Yes,No,"Fiber optic","No internet service","No internet service","No internet service",No,"No internet service","No internet service",Month-to-month,No,"Electronic check",21.1,21.1,0,"0-1 year",1,0,21.1,Low,0.954751,1,1,0,0
1097-FSPVW,Female,0,No,No,42,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,"Credit card (automatic)",54.55,2455.05,0,"2-4 years",0,0,2291.1,Medium,1.07109,3,1,0,0
7929-DMBCV,Male,0,Yes,No,20,Yes,No,"Fiber optic",No,No,Yes,Yes,No,No,Month-to-month,Yes,"Mailed check",81,1683.7,0,"1-2 years",0,0,1620,High,1.03868,3,1,1,1
5208-FVQKB,Male,0,Yes,No,70,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,"Two year",No,"Mailed check",67.95,4664.15,0,"4+ years",0,1,4756.5,Medium,0.980378,5,0,0,1
8434-PNQZX,Male,0,No,No,42,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",78.45,3373.4,0,"2-4 years",0,0,3294.9,High,1.02351,5,0,1,0
8082-GHXOP,Male,0,No,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",44,659.35,0,"1-2 years",0,0,572,Medium,1.1507,1,1,0,1
9227-UAQFT,Male,0,No,No,16,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",19.75,284.35,0,"1-2 years",0,0,316,Low,0.897003,1,0,0,0
1915-OAKWD,Female,0,No,Yes,16,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Bank transfer (automatic)",19.3,360.35,0,"1-2 years",0,0,308.8,Low,1.16317,1,0,1,1
9643-AVVWI,Female,0,Yes,Yes,3,Yes,No,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Electronic check",80,241.3,0,"0-1 year",1,0,240,High,1.00124,3,1,1,2
7542-CYDDM,Male,0,No,No,18,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.05,358.5,0,"1-2 years",0,0,360.9,Low,0.990605,1,1,0,0
7396-VJUZB,Male,0,Yes,Yes,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",45.25,155.35,0,"0-1 year",1,0,181,Medium,0.853571,1,1,0,2
4451-RWASJ,Male,0,Yes,Yes,29,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Electronic check",19.5,239.75,0,"2-4 years",0,0,565.5,Low,0.423213,1,0,1,2
7802-EFKNY,Male,0,No,No,5,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",24.95,100.4,1,"0-1 year",1,0,124.75,Low,0.79841,0,1,1,0
4501-EQDRN,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",69.7,1398.6,1,"0-1 year",1,0,69.7,Medium,19.7822,1,1,0,0
5902-WBLSE,Female,0,Yes,Yes,70,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card (automatic)",20.15,1411.2,0,"4+ years",0,1,1410.5,Low,0.999787,1,0,1,2
3400-ESFUW,Male,0,Yes,Yes,55,Yes,No,DSL,Yes,Yes,No,Yes,No,No,"Two year",No,"Electronic check",57.55,3046.4,1,"4+ years",0,1,3165.25,Medium,0.962148,4,0,0,2
4424-TKOPW,Male,1,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",93.85,196.75,1,"0-1 year",1,0,187.7,High,1.04266,3,1,1,0
1212-GLHMD,Male,0,No,No,29,Yes,No,"Fiber optic",Yes,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",86.05,244.85,0,"2-4 years",0,0,2495.45,High,0.0980793,3,1,1,0
